Start Time:  11/10/2018 12:07:24 AM       Time Completed:  11/10/2018 1:19:38 AM    Elapsed Time:  01:12:14
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #8.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #8.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #8.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.6898182 	-0.00006362358 	
-3.7755643 	-0.000066019109 	
-2.8663484 	-0.000065715769 	
-1.963096 	-0.000067923554 	
-1.0440097 	-0.000066052333 	
-0.13073257 	-0.000062306666 	
 0.77677336 	-0.000064767989 	
 1.6723922 	-0.000064751746 	
 2.5837815 	-0.000062811195 	
 3.5044477 	-0.000062359602 	
 4.3999634 	-0.000064803744 	
 7.1243393 	-0.000064442489 	
 11.86105 	-0.000063260097 	
 16.614357 	-0.000060164018 	
 21.368228 	-0.000059229125 	
 26.115858 	-0.0000562129 	
 30.87067 	-0.00005424052 	
 35.645736 	-0.000052944204 	
 40.430325 	-0.000050296745 	
 45.209611 	-0.000052360179 	
 49.963672 	-0.000049778002 	
 54.696635 	-0.000043346954 	
 59.510879 	-0.000045750202 	
 64.209598 	-0.000038565304 	
 68.965305 	-0.000045313211 	
 73.710253 	-0.000037928703 	
 78.449998 	-0.000037391056 	
 83.210253 	-0.000036284316 	
 87.950604 	-0.000037486153 	
 92.703208 	-0.000031133473 	
 97.434085 	-0.000029962656 	
 109.60145 	-0.000028912885 	
 129.59999 	-0.000016116408 	
 149.60193 	-0.000013867058 	
 169.74991 	-0.0000059436143 	
 189.7979 	 0.0000024112458 	
 209.79514 	 0.000013250953 	
 229.80043 	 0.000019658528 	
 249.80197 	 0.000023650839 	
 269.78583 	 0.000032922871 	
 289.79207 	 0.000040768688 	
 309.78049 	 0.000047194237 	
 329.78232 	 0.000055512098 	
 349.77327 	 0.000065036326 	
 369.77093 	 0.000072950215 	
 389.77042 	 0.000070063195 	
 409.75837 	 0.000078551539 	
 429.94523 	 0.000088653194 	
 449.95569 	 0.000095872666 	
 469.95584 	 0.00010502494 	
 489.93518 	 0.00011148103 	
 511.74117 	 0.00011822702 	
 536.73181 	 0.00012649282 	
 561.72602 	 0.00013773659 	
 586.74095 	 0.00014262894 	
 611.73911 	 0.00014847761 	
 636.72662 	 0.00015757903 	
 661.73266 	 0.00016834137 	
 686.73036 	 0.00017229345 	
 711.73367 	 0.00018298464 	
 736.74084 	 0.00019389211 	
 761.74264 	 0.00019703398 	
 786.74458 	 0.00020417639 	
 811.98555 	 0.00020813057 	
 836.99191 	 0.00022118905 	
 861.99811 	 0.0002244156 	
 886.9908 	 0.00023437507 	
 911.99172 	 0.00024131712 	
 936.99268 	 0.00025048929 	
 962.06026 	 0.00025320704 	
 987.2401 	 0.00026486103 	
 1121.9651 	 0.00030132496 	
 1396.5625 	 0.00038499005 	
 1671.592 	 0.00046299562 	
 1946.6273 	 0.00055025996 	
 2224.3702 	 0.00061503687 	
 2499.3617 	 0.00067963556 	
 2774.3406 	 0.00076853529 	
 3049.3154 	 0.00083189292 	
 3324.2861 	 0.00090880055 	
 3599.2613 	 0.00096973907 	
 3874.2285 	 0.0010680087 	
 4149.219 	 0.0011214265 	
 4424.1867 	 0.001207567 	
 4699.1769 	 0.0012733261 	
 4974.1372 	 0.0013523305 	
 5249.1167 	 0.0014457387 	
 5524.0842 	 0.0015141511 	
 5799.0451 	 0.0015885025 	
 6074.0379 	 0.0016828007 	
 6349.0097 	 0.0017290354 	
 6623.9679 	 0.0018052002 	
 6898.9689 	 0.0018728963 	
 7173.9091 	 0.0019555489 	
 7448.8715 	 0.0020153978 	
 7723.8541 	 0.0020885424 	
 7998.8023 	 0.0021517663 	
 8273.7507 	 0.0022473955 	
 8548.6904 	 0.0023150672 	
 8823.6161 	 0.0023923034 	
 9098.5407 	 0.0024607161 	
 9373.4235 	 0.002549605 	
 9648.3043 	 0.0025882636 	
 9923.1672 	 0.0026846827 	
 10198.011 	 0.0027555724 	
 10472.841 	 0.0028142701 	
 10747.672 	 0.0028868933 	
 11022.491 	 0.00295445 	
 11297.293 	 0.0030409642 	
 11572.069 	 0.0031222079 	
 11846.828 	 0.0031792235 	
 11856.804 	 0.0031885493 	
 11581.196 	 0.0031330309 	
 11305.688 	 0.0030596539 	
 11030.293 	 0.0029798262 	
 10754.967 	 0.0029021351 	
 10479.664 	 0.0028373748 	
 10204.428 	 0.0027696038 	
 9929.1849 	 0.0026756509 	
 9654.0136 	 0.0026270325 	
 9378.8838 	 0.0025446834 	
 9103.756 	 0.0024684732 	
 8828.644 	 0.0024189662 	
 8553.5742 	 0.0023294735 	
 8278.5077 	 0.0022556333 	
 8003.4484 	 0.0021965956 	
 7725.8128 	 0.0021102614 	
 7448.7247 	 0.0020325336 	
 7172.8434 	 0.0019670976 	
 6897.8108 	 0.0018941563 	
 6620.4165 	 0.0018386011 	
 6345.0186 	 0.0017547643 	
 6069.9911 	 0.0016805728 	
 5794.9723 	 0.001594704 	
 5519.9391 	 0.0015192058 	
 5244.9252 	 0.0014673051 	
 4969.8752 	 0.0013832116 	
 4694.8696 	 0.0013187709 	
 4419.8323 	 0.0012381674 	
 4144.8323 	 0.0011594934 	
 3869.7965 	 0.0010741576 	
 3594.7658 	 0.0010098057 	
 3319.7533 	 0.00093154622 	
 3044.7473 	 0.0008493898 	
 2769.6935 	 0.00078423568 	
 2494.6777 	 0.00069504965 	
 2219.6656 	 0.00062840389 	
 1944.6691 	 0.00057423757 	
 1669.651 	 0.00046673906 	
 1394.6446 	 0.00041188918 	
 1120.2097 	 0.0003196983 	
 976.14555 	 0.00027849103 	
 926.15575 	 0.00025397717 	
 876.14105 	 0.00024706175 	
 826.16249 	 0.00023855494 	
 776.14777 	 0.00020898491 	
 726.15963 	 0.00019388851 	
 676.14807 	 0.00017017166 	
 626.15218 	 0.00016550369 	
 576.1551 	 0.00014693714 	
 526.14994 	 0.00013257019 	
 491.22515 	 0.00012595384 	
 471.26826 	 0.00012077645 	
 451.26416 	 0.00010673122 	
 431.27999 	 0.00010797382 	
 411.27459 	 0.0000941434 	
 391.28237 	 0.000098393436 	
 371.27372 	 0.000079361191 	
 351.28364 	 0.00006462989 	
 331.30283 	 0.000062514481 	
 311.29796 	 0.000052707547 	
 291.30335 	 0.000051283353 	
 271.31555 	 0.000047657085 	
 251.31929 	 0.000032284493 	
 231.32819 	 0.000033097479 	
 211.33488 	 0.000021140821 	
 191.33157 	 0.000020065421 	
 171.34052 	-0.0000019763756 	
 151.33511 	 0.0000056906853 	
 131.35051 	-0.000011384041 	
 111.34236 	-0.00001538622 	
 96.909606 	-0.000021147944 	
 86.924294 	-0.000025672084 	
 76.92707 	-0.000025690972 	
 66.93472 	-0.000035370103 	
 56.963366 	-0.000041918871 	
 46.935272 	-0.000031085303 	
 36.9302 	-0.000045259223 	
 26.933836 	-0.000050370956 	
 16.944248 	-0.000053740186 	
 6.9389074 	-0.000062751802 	
-3.0564076 	-0.000063894572 	
-13.064518 	-0.000063279962 	
-23.059315 	-0.000070042373 	
-33.06706 	-0.000079680778 	
-43.064538 	-0.0000835088 	
-53.069438 	-0.000085488256 	
-63.062183 	-0.000088182719 	
-73.059559 	-0.00009234061 	
-83.065296 	-0.000099842024 	
-93.052026 	-0.000087769846 	
-107.46467 	-0.00010699687 	
-127.44746 	-0.00010920574 	
-147.44717 	-0.00012200912 	
-167.4486 	-0.00013476592 	
-187.44132 	-0.00014688133 	
-207.4471 	-0.0001549898 	
-227.44498 	-0.00016078089 	
-247.44015 	-0.00017092551 	
-267.42863 	-0.0001723764 	
-287.42994 	-0.00018243608 	
-307.42052 	-0.00018183857 	
-327.42121 	-0.00018813655 	
-347.4085 	-0.00020231654 	
-367.40413 	-0.00020320807 	
-387.39855 	-0.0002176152 	
-407.3941 	-0.00022193423 	
-427.38534 	-0.00022060929 	
-447.3835 	-0.000235085 	
-467.38019 	-0.00022764843 	
-487.37431 	-0.00025129135 	
-521.10216 	-0.00026068408 	
-571.14962 	-0.00027899921 	
-621.13497 	-0.00027695363 	
-671.14184 	-0.00031170777 	
-721.14808 	-0.00032666404 	
-771.14229 	-0.00034418718 	
-821.13528 	-0.00035525019 	
-871.14654 	-0.00037085898 	
-921.19829 	-0.00039116918 	
-971.64211 	-0.00040001358 	
-1118.3024 	-0.00046475558 	
-1392.7051 	-0.00052627677 	
-1667.6999 	-0.00059494942 	
-1942.6755 	-0.0006818195 	
-2217.6601 	-0.00075224791 	
-2492.6576 	-0.000837924 	
-2767.652 	-0.00095500999 	
-3042.6341 	-0.0009850203 	
-3317.6213 	-0.0011087821 	
-3592.6103 	-0.0011489057 	
-3867.5871 	-0.0012319508 	
-4142.5621 	-0.0013164214 	
-4417.5403 	-0.0013722895 	
-4692.5347 	-0.0014529181 	
-4967.4946 	-0.001507882 	
-5243.8688 	-0.0016142115 	
-5520.2058 	-0.001700005 	
-5795.1942 	-0.001761459 	
-6070.1558 	-0.0018373267 	
-6347.0683 	-0.0018875991 	
-6622.8589 	-0.0019860271 	
-6897.8284 	-0.002047626 	
-7172.7968 	-0.0021207337 	
-7447.7797 	-0.002202148 	
-7723.9418 	-0.0022969808 	
-8000.4453 	-0.0023633412 	
-8275.3975 	-0.002446131 	
-8550.3378 	-0.0025144746 	
-8825.2593 	-0.0026007204 	
-9100.1863 	-0.0026720459 	
-9375.0959 	-0.0027457124 	
-9650.2078 	-0.002819426 	
-9927.5877 	-0.002898544 	
-10203.329 	-0.0029796711 	
-10480.003 	-0.0030435913 	
-10754.819 	-0.003107723 	
-11029.621 	-0.003173123 	
-11304.415 	-0.0032660552 	
-11579.161 	-0.0033289867 	
-11853.895 	-0.0034035987 	
-11871.645 	-0.0034150434 	
-11593.765 	-0.0033544105 	
-11318.021 	-0.0032751187 	
-11042.637 	-0.0032159914 	
-10767.306 	-0.0031262776 	
-10492.012 	-0.0030654841 	
-10216.775 	-0.0029809401 	
-9941.5282 	-0.0029106459 	
-9666.3701 	-0.0028502834 	
-9390.9126 	-0.0027818268 	
-9111.6292 	-0.0026990923 	
-8834.7506 	-0.0026326227 	
-8557.6744 	-0.0025823164 	
-8282.6049 	-0.0025110123 	
-8007.5398 	-0.0024358576 	
-7732.4887 	-0.0023361153 	
-7457.446 	-0.0022844227 	
-7182.436 	-0.0022011176 	
-6907.4021 	-0.0021318742 	
-6632.3778 	-0.0020488156 	
-6357.3565 	-0.0019650615 	
-6082.326 	-0.001907253 	
-5807.3197 	-0.0018187488 	
-5532.2645 	-0.0017550753 	
-5256.5123 	-0.001678819 	
-4979.4809 	-0.0016112397 	
-4704.4409 	-0.0015332581 	
-4429.4481 	-0.0014514695 	
-4154.4093 	-0.0013970519 	
-3879.3963 	-0.0013139362 	
-3604.3608 	-0.0012393523 	
-3329.3498 	-0.001166139 	
-3054.3276 	-0.0010810687 	
-2779.2917 	-0.0010137321 	
-2504.2844 	-0.00092529708 	
-2229.2558 	-0.0008475236 	
-1954.2638 	-0.00078651063 	
-1679.2416 	-0.00069636861 	
-1404.2391 	-0.00062558298 	
-1129.3736 	-0.00054644243 	
-977.47425 	-0.00048671991 	
-927.55595 	-0.00047240956 	
-877.41962 	-0.00047622412 	
-827.05427 	-0.00045211556 	
-777.06479 	-0.00042719314 	
-727.05579 	-0.00041152279 	
-677.05655 	-0.0004131332 	
-627.06399 	-0.00038879248 	
-577.06423 	-0.0003807948 	
-527.05419 	-0.00034652939 	
-491.70782 	-0.00034306443 	
-471.73879 	-0.00033235477 	
-451.7457 	-0.00033069663 	
-431.74898 	-0.00032536144 	
-411.75527 	-0.00032195584 	
-391.75776 	-0.00030475057 	
-371.76044 	-0.00030631124 	
-351.76325 	-0.00030437425 	
-331.7704 	-0.0002954295 	
-311.77856 	-0.00028290343 	
-291.78025 	-0.00027462438 	
-271.78985 	-0.00026550702 	
-251.78837 	-0.00025423589 	
-231.79782 	-0.00025435161 	
