Start Time:  11/10/2018 4:56:13 AM        Time Completed:  11/10/2018 6:08:26 AM    Elapsed Time:  01:12:13
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #12.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #12.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #12.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.5378538 	-0.000052942572 	
-3.6271985 	-0.000064987593 	
-2.7224038 	-0.000066745257 	
-1.8080471 	-0.000067550037 	
-0.89718619 	-0.000068110529 	
 0.0091383683 	-0.000064601968 	
 0.92365527 	-0.000062514818 	
 1.8336015 	-0.000068034366 	
 2.7376725 	-0.00006516914 	
 3.6513296 	-0.00006599955 	
 4.5655019 	-0.000069447604 	
 7.0146675 	-0.00006287672 	
 11.745193 	-0.000058307439 	
 16.495717 	-0.00005668101 	
 21.238766 	-0.000057433625 	
 25.995206 	-0.000059050994 	
 30.762096 	-0.000052347971 	
 35.504367 	-0.00005253722 	
 40.300952 	-0.000051020131 	
 45.036942 	-0.000048215253 	
 49.799189 	-0.000045181748 	
 54.552796 	-0.000044752894 	
 59.281837 	-0.000041328319 	
 64.036207 	-0.000047044566 	
 68.804271 	-0.000040717004 	
 73.547572 	-0.000038759067 	
 78.277845 	-0.000037041689 	
 83.050252 	-0.000034019669 	
 87.782779 	-0.000036532326 	
 92.518549 	-0.000031424314 	
 97.27177 	-0.000027373463 	
 108.70904 	-0.000020702687 	
 128.65995 	-0.000020433235 	
 148.68148 	-0.000014130631 	
 168.67351 	-0.0000038760389 	
 188.66855 	 0.0000054578125 	
 208.67455 	 0.000011783964 	
 228.67089 	 0.000019723901 	
 248.67061 	 0.000021518578 	
 268.65471 	 0.000027483962 	
 288.65833 	 0.00003879213 	
 308.65334 	 0.000047372893 	
 328.65744 	 0.000057453945 	
 348.65112 	 0.000059048927 	
 368.65421 	 0.000070930878 	
 388.62999 	 0.000071971521 	
 408.63738 	 0.000080350591 	
 428.64191 	 0.000094128988 	
 448.62628 	 0.000095030071 	
 468.61258 	 0.0001051708 	
 488.61463 	 0.00011201423 	
 510.45457 	 0.00011788645 	
 535.4218 	 0.00012104825 	
 560.41651 	 0.00013445523 	
 585.41683 	 0.00013874917 	
 610.41675 	 0.000149757 	
 635.42865 	 0.00015900876 	
 660.42038 	 0.00016428508 	
 685.41777 	 0.00016968886 	
 710.42319 	 0.00018144874 	
 735.42932 	 0.00019164874 	
 760.42377 	 0.00019211689 	
 785.41926 	 0.00020066422 	
 810.42021 	 0.000208299 	
 835.42652 	 0.00021907362 	
 860.44065 	 0.00021904609 	
 885.43005 	 0.00022743356 	
 910.42633 	 0.0002392818 	
 935.43135 	 0.00024494182 	
 960.4357 	 0.00026298561 	
 985.43472 	 0.00026511693 	
 1123.0306 	 0.0002980869 	
 1397.7669 	 0.00038445505 	
 1672.7949 	 0.00046686187 	
 1947.8134 	 0.00052659248 	
 2222.8326 	 0.00061955217 	
 2500.2909 	 0.00068288993 	
 2775.544 	 0.0007522086 	
 3050.5104 	 0.00084962234 	
 3325.5054 	 0.00091872275 	
 3600.4917 	 0.0009854477 	
 3875.4516 	 0.0010454212 	
 4150.4181 	 0.0011291214 	
 4425.4077 	 0.0011996081 	
 4700.3717 	 0.0012672167 	
 4975.3426 	 0.001345078 	
 5250.3246 	 0.0014231461 	
 5525.2879 	 0.0014973052 	
 5800.2601 	 0.0015697711 	
 6075.2463 	 0.0016509455 	
 6350.2 	 0.0017266468 	
 6625.1924 	 0.0018000846 	
 6900.1669 	 0.0018756662 	
 7175.1174 	 0.0019371729 	
 7450.0968 	 0.0020207298 	
 7725.0584 	 0.0020821574 	
 8000.0009 	 0.0021648979 	
 8274.9599 	 0.00224089 	
 8549.8956 	 0.0022957786 	
 8824.8191 	 0.0023817757 	
 9099.7296 	 0.0024617779 	
 9374.6329 	 0.0025302242 	
 9649.5101 	 0.0026003584 	
 9924.3618 	 0.0026811645 	
 10199.216 	 0.0027471377 	
 10474.055 	 0.0028224455 	
 10748.875 	 0.0028867343 	
 11023.701 	 0.0029500304 	
 11298.506 	 0.003047659 	
 11573.254 	 0.0031050179 	
 11848.017 	 0.0031803711 	
 11870.099 	 0.003181248 	
 11595.186 	 0.0031181437 	
 11319.36 	 0.0030416113 	
 11041.542 	 0.0029825048 	
 10766.184 	 0.0029176963 	
 10489.522 	 0.002824039 	
 10212.898 	 0.0027610002 	
 9937.6867 	 0.0026907188 	
 9662.4998 	 0.0026169489 	
 9387.3469 	 0.0025487345 	
 9112.2309 	 0.0024671255 	
 8837.1219 	 0.0023863828 	
 8562.0486 	 0.0023194761 	
 8286.989 	 0.0022416779 	
 8011.9326 	 0.0021994761 	
 7736.9031 	 0.0021207501 	
 7461.8533 	 0.0020458724 	
 7186.8055 	 0.0019578789 	
 6911.7807 	 0.0018922627 	
 6636.776 	 0.0018186322 	
 6361.7482 	 0.0017393711 	
 6086.7355 	 0.0016712561 	
 5811.6739 	 0.0015937791 	
 5536.6619 	 0.0015389403 	
 5261.6381 	 0.0014509597 	
 4986.6333 	 0.001368575 	
 4711.6022 	 0.0012915792 	
 4436.5477 	 0.0012312577 	
 4161.5548 	 0.0011619669 	
 3886.5153 	 0.0010840518 	
 3611.4938 	 0.0010104523 	
 3336.4702 	 0.00095263791 	
 3061.4555 	 0.00085077532 	
 2786.444 	 0.00077998399 	
 2511.4113 	 0.00072034522 	
 2236.3931 	 0.00063307621 	
 1961.4071 	 0.00057403062 	
 1686.4086 	 0.00048366022 	
 1411.3536 	 0.0004010716 	
 1136.3887 	 0.00033227699 	
 977.15881 	 0.00026816189 	
 927.22805 	 0.00025981642 	
 877.23537 	 0.00024805086 	
 827.23799 	 0.000220699 	
 777.23514 	 0.00021756732 	
 727.24003 	 0.00020609885 	
 677.22827 	 0.0001757166 	
 627.2364 	 0.00014938538 	
 577.23382 	 0.00015206793 	
 527.20271 	 0.00011588878 	
 491.40605 	 0.00012940476 	
 471.43608 	 0.0001162431 	
 451.44562 	 0.00011657468 	
 431.43938 	 0.000099116708 	
 411.45121 	 0.000099450748 	
 391.44526 	 0.000079902178 	
 371.45467 	 0.00008052468 	
 351.46637 	 0.000075628931 	
 331.47032 	 0.000071787428 	
 311.46807 	 0.000061016456 	
 291.47578 	 0.000050476155 	
 271.48894 	 0.000047751893 	
 251.47925 	 0.00003605299 	
 231.49505 	 0.00003246626 	
 211.4881 	 0.000021197646 	
 191.50677 	 0.0000098886164 	
 171.51356 	 0.0000083007497 	
 151.51282 	-0.0000067976862 	
 131.51695 	-0.000012109204 	
 111.52738 	-0.00001192746 	
 96.743016 	-0.000020548394 	
 86.734128 	-0.000032098014 	
 76.758108 	-0.00002790597 	
 66.745268 	-0.0000378185 	
 56.780297 	-0.000046044894 	
 46.752101 	-0.000045283083 	
 36.742086 	-0.000048005295 	
 26.75504 	-0.000051436291 	
 16.755775 	-0.000057986424 	
 6.7595567 	-0.000063091202 	
-3.2534946 	-0.000059836476 	
-13.237251 	-0.000070623554 	
-23.247393 	-0.000075043362 	
-33.324494 	-0.000080447577 	
-43.345347 	-0.000081901823 	
-53.350968 	-0.000087795454 	
-63.350405 	-0.000089599296 	
-73.403284 	-0.000092451796 	
-83.437252 	-0.000099831983 	
-93.447977 	-0.00010397123 	
-107.83189 	-0.00010939821 	
-127.82072 	-0.00011445012 	
-147.81206 	-0.00012101612 	
-167.80381 	-0.00012419854 	
-187.80981 	-0.00014213096 	
-207.80321 	-0.00015014104 	
-227.80871 	-0.00015633357 	
-247.79884 	-0.00015929003 	
-267.79464 	-0.00017278029 	
-287.8007 	-0.00018087941 	
-307.78891 	-0.00017401227 	
-327.78239 	-0.00018557972 	
-347.777 	-0.00019902496 	
-367.77795 	-0.00019591561 	
-387.76661 	-0.00021557296 	
-407.76722 	-0.00020966573 	
-427.74877 	-0.00022421864 	
-447.76043 	-0.00023014131 	
-467.74713 	-0.00023563584 	
-487.74166 	-0.00024027972 	
-521.59371 	-0.00027235985 	
-571.57332 	-0.00027277241 	
-621.57256 	-0.00028659598 	
-671.67339 	-0.00029779804 	
-722.06869 	-0.00032145494 	
-772.06939 	-0.00035505843 	
-822.07465 	-0.00035639172 	
-872.07468 	-0.00037779203 	
-922.07522 	-0.00037641893 	
-972.0711 	-0.00040645643 	
-1127.2269 	-0.00041852082 	
-1402.1226 	-0.0005229128 	
-1677.1121 	-0.00062484875 	
-1952.1045 	-0.0006923363 	
-2227.0812 	-0.00075728613 	
-2502.0873 	-0.00081968487 	
-2777.0551 	-0.00092341311 	
-3052.044 	-0.0010053665 	
-3327.0389 	-0.0010973453 	
-3602.001 	-0.0011535521 	
-3877.0154 	-0.0012247627 	
-4151.9894 	-0.0012782454 	
-4426.9664 	-0.0013745068 	
-4701.9466 	-0.0014248384 	
-4976.9294 	-0.0015103975 	
-5251.9111 	-0.0015821318 	
-5526.8641 	-0.0016954247 	
-5801.8479 	-0.0017261966 	
-6076.8229 	-0.0018296221 	
-6351.804 	-0.0019123301 	
-6626.7826 	-0.0019638538 	
-6901.7461 	-0.0020563128 	
-7176.7251 	-0.0021117328 	
-7451.6777 	-0.0021877479 	
-7726.6577 	-0.0022793181 	
-8001.6114 	-0.0023566327 	
-8276.5612 	-0.0024108465 	
-8551.4904 	-0.0024809333 	
-8826.4227 	-0.0025599648 	
-9101.3532 	-0.0026466812 	
-9376.2365 	-0.0027242987 	
-9651.1226 	-0.0027985999 	
-9926.0094 	-0.0028705491 	
-10203.137 	-0.0029431847 	
-10478.421 	-0.0030155278 	
-10753.812 	-0.0030890791 	
-11030.79 	-0.0031697607 	
-11305.573 	-0.0032490735 	
-11580.31 	-0.0033212283 	
-11855.064 	-0.0034018831 	
-11876.244 	-0.0034004174 	
-11601.095 	-0.0033343007 	
-11325.601 	-0.0032733097 	
-11050.206 	-0.0031952418 	
-10774.871 	-0.0031123331 	
-10499.561 	-0.0030435549 	
-10224.314 	-0.0029781973 	
-9949.0993 	-0.0028940851 	
-9673.9131 	-0.0028339988 	
-9398.7611 	-0.0027678855 	
-9123.6367 	-0.0027029022 	
-8848.5364 	-0.0026385498 	
-8573.4803 	-0.0025475642 	
-8294.8035 	-0.0024847841 	
-8017.8436 	-0.0024039874 	
-7742.8057 	-0.0023271022 	
-7467.7804 	-0.0022635373 	
-7192.729 	-0.0021757067 	
-6917.7094 	-0.002103455 	
-6642.6653 	-0.0020330956 	
-6367.1341 	-0.0019703798 	
-6089.8868 	-0.0018927239 	
-5812.3115 	-0.0018282097 	
-5537.0729 	-0.0017397413 	
-5262.0588 	-0.001654234 	
-4987.0321 	-0.0016006614 	
-4712.0067 	-0.0015284847 	
-4436.9879 	-0.0014545699 	
-4161.9524 	-0.0013776027 	
-3884.2117 	-0.0012948657 	
-3609.1643 	-0.0012323516 	
-3334.1394 	-0.0011515072 	
-3059.1211 	-0.0010839003 	
-2784.1024 	-0.0010001124 	
-2509.089 	-0.00092924846 	
-2234.085 	-0.00084081135 	
-1959.0581 	-0.00076770383 	
-1684.0488 	-0.00069829341 	
-1409.0454 	-0.00064891426 	
-1134.082 	-0.00052211562 	
-976.74484 	-0.00049241443 	
-926.7943 	-0.0004747651 	
-876.7919 	-0.00046521141 	
-826.79177 	-0.00043348818 	
-776.793 	-0.00043020984 	
-726.79373 	-0.00040797195 	
-676.78759 	-0.00038826958 	
-626.79482 	-0.00038126413 	
-576.79753 	-0.00035587366 	
-526.78934 	-0.00036054886 	
-491.41098 	-0.00032921741 	
-471.44742 	-0.00032585586 	
-451.43714 	-0.00032836285 	
-431.4535 	-0.0003156514 	
-411.45175 	-0.00030922301 	
-391.45393 	-0.00029467552 	
-371.37911 	-0.00029599118 	
-351.26787 	-0.00028316769 	
-331.28131 	-0.00027863859 	
-311.27124 	-0.000272973 	
-291.28426 	-0.00027624558 	
-271.28389 	-0.00026442272 	
-251.29559 	-0.00025391313 	
-231.29408 	-0.00024393699 	
-211.29246 	-0.00022899797 	
-191.30946 	-0.00022740751 	
-171.31575 	-0.00022721349 	
-151.31776 	-0.00021252614 	
-131.32967 	-0.0002021982 	
-111.32522 	-0.00020275697 	
-96.254857 	-0.00018996468 	
-86.274921 	-0.00018760518 	
-76.196559 	-0.00018362212 	
-66.170949 	-0.00018707211 	
-56.172132 	-0.00017937331 	
-46.172686 	-0.00017465604 	
-36.178092 	-0.00016678987 	
-26.176565 	-0.00016054204 	
-16.179788 	-0.00016712056 	
-6.1737843 	-0.00015377026 	
 3.8262199 	-0.00015282845 	
 13.825352 	-0.00013755617 	
 23.830123 	-0.0001413314 	
 33.81912 	-0.00014462453 	
 43.827847 	-0.00012352171 	
 53.830558 	-0.00012977477 	
 63.828839 	-0.00012881106 	
 73.801171 	-0.00011524972 	
 83.82606 	-0.00011769366 	
 93.82558 	-0.00010927284 	
 117.66541 	-0.000097545792 	
 157.63859 	-0.00009696183 	
 197.63912 	-0.000065894832 	
 237.6334 	-0.000051458748 	
 277.64034 	-0.000058813052 	
 317.63217 	-0.000031218916 	
 357.66415 	-0.000023881121 	
 398.02458 	 0.0000036835873 	
 438.0096 	 0.000016247527 	
 478.0078 	 0.000026528099 	
 521.9557 	 0.000050619147 	
 571.94378 	 0.000059840012 	
 621.94425 	 0.000073669743 	
 671.94003 	 0.000099406017 	
 721.93955 	 0.00010933804 	
 771.94404 	 0.00012516704 	
 821.93426 	 0.00013839126 	
 871.93749 	 0.00016264038 	
 921.93971 	 0.0001770571 	
 971.93565 	 0.00019163926 	
 1123.9602 	 0.00020668704 	
 1398.699 	 0.00030453619 	
 1673.6889 	 0.00036260259 	
 1948.672 	 0.0004587999 	
 2223.6577 	 0.00055650484 	
 2498.6501 	 0.0006241013 	
 2773.611 	 0.00069916438 	
 3048.6052 	 0.00079492076 	
 3323.6047 	 0.00081837493 	
 3598.5672 	 0.00094930645 	
 3873.5797 	 0.0009867054 	
 4148.5451 	 0.0010706598 	
 4423.5286 	 0.0011239584 	
 4698.5126 	 0.0012308724 	
 4973.4863 	 0.0012986821 	
 5248.4731 	 0.0013573823 	
 5523.4448 	 0.0014494005 	
 5798.4301 	 0.0015173029 	
 6073.3843 	 0.001603656 	
 6348.3671 	 0.0016718271 	
 6623.3455 	 0.0017451301 	
 6900.4241 	 0.0018115972 	
 7176.0298 	 0.0019037124 	
 7451.0061 	 0.001968429 	
 7725.972 	 0.0020555935 	
 8000.9332 	 0.0021186161 	
 8275.881 	 0.0021945135 	
 8550.8302 	 0.0022766858 	
 8825.7494 	 0.0023583378 	
 9100.6713 	 0.0024251449 	
 9375.5404 	 0.0024854531 	
 9650.4406 	 0.0025716611 	
 9925.3139 	 0.002651 	
 10200.145 	 0.0027248286 	
 10475.824 	 0.002791032 	
 10752.531 	 0.0028616281 	
 11027.355 	 0.0029443309 	
 11302.12 	 0.002995628 	
 11578.082 	 0.0030945565 	
 11854.361 	 0.0031680214 	

	
	
