Start Time:  11/9/2018 8:30:48 PM         Time Completed:  11/9/2018 9:43:00 PM     Elapsed Time:  01:12:12
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #5.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #5.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #5.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.6593842 	 0.000065172676 	
-3.7433824 	 0.000058579597 	
-2.8355031 	 0.000059575448 	
-1.9309141 	 0.000063817812 	
-1.0255025 	 0.000058460503 	
-0.12115792 	 0.000056254076 	
 0.80192366 	 0.000062851349 	
 1.7021809 	 0.000064283192 	
 2.6069734 	 0.000056393873 	
 3.5265057 	 0.000060393458 	
 4.4352151 	 0.000064483635 	
 7.008483 	 0.000061771359 	
 11.752203 	 0.000063250953 	
 16.506849 	 0.000063415723 	
 21.238457 	 0.00006424627 	
 26.009115 	 0.000072248568 	
 30.747527 	 0.00006405754 	
 35.502772 	 0.000062262361 	
 40.249573 	 0.000070638488 	
 45.004354 	 0.000078092533 	
 49.75682 	 0.000075085413 	
 54.500645 	 0.000082598707 	
 59.194062 	 0.000076465479 	
 63.990131 	 0.000081267824 	
 68.751295 	 0.000084324418 	
 73.491714 	 0.000083794497 	
 78.24011 	 0.000090805138 	
 82.99311 	 0.000090412306 	
 87.732894 	 0.000083996998 	
 92.469952 	 0.000094893499 	
 97.21025 	 0.000091613342 	
 108.932 	 0.00010069508 	
 128.91519 	 0.00010473568 	
 148.92046 	 0.00011373256 	
 168.91676 	 0.00011787088 	
 188.91126 	 0.00012416634 	
 208.91529 	 0.00013412771 	
 228.91574 	 0.00014527465 	
 248.91968 	 0.00014932613 	
 268.90558 	 0.00015763632 	
 288.90325 	 0.00016204224 	
 308.90306 	 0.00017378285 	
 328.89289 	 0.00017606711 	
 348.89862 	 0.00018331444 	
 368.88886 	 0.00019159832 	
 388.88113 	 0.00019754702 	
 408.88183 	 0.00020895199 	
 428.87246 	 0.00021492447 	
 448.87495 	 0.00022082678 	
 468.87345 	 0.00022735397 	
 488.8703 	 0.00023273657 	
 510.64867 	 0.00024408594 	
 535.61708 	 0.00025428493 	
 560.63485 	 0.00025757514 	
 585.62997 	 0.000271177 	
 610.62088 	 0.00027416137 	
 635.62023 	 0.00028325555 	
 660.62394 	 0.00029080255 	
 685.61701 	 0.00030124461 	
 710.63659 	 0.00030435738 	
 735.87876 	 0.00031157103 	
 760.88271 	 0.00032387526 	
 785.88177 	 0.00033060112 	
 810.88382 	 0.00033663497 	
 835.87444 	 0.00034182661 	
 860.88254 	 0.00035464042 	
 885.88054 	 0.00036657002 	
 910.87796 	 0.00037031571 	
 935.89249 	 0.00037593712 	
 960.89062 	 0.0003899158 	
 985.88311 	 0.0003892822 	
 1128.2403 	 0.00043670647 	
 1403.1872 	 0.00050875181 	
 1678.2005 	 0.00059910113 	
 1953.2149 	 0.00067164727 	
 2228.2307 	 0.00075857533 	
 2503.2279 	 0.00083005657 	
 2778.2058 	 0.00090883615 	
 3053.1712 	 0.00096588912 	
 3328.157 	 0.0010551286 	
