Start Time:  11/9/2018 9:43:00 PM         Time Completed:  11/9/2018 10:55:12 PM    Elapsed Time:  01:12:12
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #6.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #6.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #6.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.6661701 	-0.000030598411 	
-3.7570571 	-0.000027844364 	
-2.8409525 	-0.000034051513 	
-1.9406818 	-0.000037817615 	
-1.0295124 	-0.000029785692 	
-0.12002358 	-0.000035580222 	
 0.78965774 	-0.000036832036 	
 1.7044486 	-0.000035009527 	
 2.6102718 	-0.000037309884 	
 3.5178474 	-0.000033808833 	
 4.4253199 	-0.000035771506 	
 7.1325853 	-0.000029682467 	
 11.876099 	-0.00002710128 	
 16.624561 	-0.000027706702 	
 21.376732 	-0.000025217958 	
 26.126567 	-0.000031921676 	
 30.87968 	-0.000025706627 	
 35.632865 	-0.000022025121 	
 40.389706 	-0.000023525158 	
 45.131823 	-0.000015449907 	
 49.872653 	-0.000019489527 	
 54.613852 	-0.000014683932 	
 59.430053 	-0.000012887723 	
 64.113121 	-0.0000089606401 	
 68.866872 	-0.000013196706 	
 73.635193 	-0.0000057240017 	
 78.365826 	-0.0000070290414 	
 83.115582 	-0.0000059302164 	
 87.866022 	-0.0000032689322 	
 92.643284 	-0.0000039068609 	
 97.400058 	-0.00000011768372 	
 109.18364 	 0.000010169728 	
 129.18155 	 0.0000089517939 	
 149.18848 	 0.000022871009 	
 169.18349 	 0.000027537111 	
 189.17286 	 0.000035484994 	
 209.17993 	 0.000043109383 	
 229.16631 	 0.000050588325 	
 249.1724 	 0.000057684112 	
 269.17041 	 0.000061364939 	
 289.16902 	 0.000076070146 	
 309.16626 	 0.000082394528 	
 329.15444 	 0.000087301556 	
 349.16362 	 0.000094122567 	
 369.15862 	 0.000098428406 	
 389.14843 	 0.00010262406 	
 409.14533 	 0.00011483418 	
 429.13694 	 0.00011847621 	
 449.23649 	 0.00012815515 	
 469.3287 	 0.00013098832 	
 489.33445 	 0.00014165278 	
 511.04989 	 0.00014760858 	
 536.01598 	 0.00015254965 	
 561.01682 	 0.00016366884 	
 586.02085 	 0.0001710543 	
 611.00985 	 0.00018271789 	
 636.02005 	 0.00019159 	
 661.0197 	 0.00019358081 	
 686.02908 	 0.00020009659 	
 711.01202 	 0.00021505375 	
 736.01574 	 0.00021804788 	
 761.21255 	 0.00022695556 	
 786.28031 	 0.000240534 	
 811.28327 	 0.0002447631 	
 836.27044 	 0.00025011915 	
 861.27253 	 0.00026143823 	
 886.28539 	 0.00026987931 	
 911.27447 	 0.00027984708 	
 936.27908 	 0.00028082762 	
 961.27319 	 0.00028882674 	
 986.2798 	 0.00029989266 	
 1121.6004 	 0.00034263658 	
 1396.1927 	 0.00041184794 	
 1671.2414 	 0.0004913951 	
 1946.2425 	 0.00057336477 	
 2221.2622 	 0.00065864498 	
 2496.2458 	 0.00072233961 	
 2772.9195 	 0.00080338363 	
 3048.9598 	 0.00086745467 	
 3323.9344 	 0.00095708123 	
 3598.9056 	 0.0010205576 	
 3873.8645 	 0.0010980465 	
 4148.8425 	 0.0011684617 	
 4423.8254 	 0.0012364989 	
 4698.8143 	 0.0013110827 	
 4973.7712 	 0.0013784236 	
 5248.7616 	 0.0014614769 	
 5523.7175 	 0.0015519653 	
 5798.6907 	 0.0016293046 	
 6073.6756 	 0.0017013949 	
 6348.6415 	 0.0017723061 	
 6623.6024 	 0.0018331553 	
 6898.5998 	 0.0018977868 	
 7176.2306 	 0.001984531 	
 7451.2594 	 0.0020541514 	
 7726.2388 	 0.0021219614 	
 8001.1857 	 0.0022078497 	
 8276.1347 	 0.0022687486 	
 8551.0561 	 0.0023408464 	
 8826.0011 	 0.0023959369 	
 9100.9107 	 0.0024800913 	
 9375.809 	 0.0025667818 	
 9650.6723 	 0.0026135383 	
 9925.5453 	 0.0027033225 	
 10200.393 	 0.0027744268 	
 10475.248 	 0.0028441054 	
 10750.073 	 0.0029149095 	
 11024.882 	 0.0029883464 	
 11299.701 	 0.0030504283 	
 11574.441 	 0.0031290041 	
 11849.213 	 0.0031990727 	
 11861.132 	 0.003207562 	
 11585.71 	 0.0031302234 	
 11310.177 	 0.0030731712 	
 11034.774 	 0.0029921678 	
 10759.449 	 0.0029226774 	
 10482.301 	 0.0028526142 	
 10206.16 	 0.0027787957 	
 9930.9527 	 0.002714581 	
 9655.7639 	 0.0026501882 	
 9380.6045 	 0.0025725314 	
 9105.4811 	 0.0024973327 	
 8830.3791 	 0.0024086155 	
 8555.3091 	 0.0023525473 	
 8280.2532 	 0.0022795014 	
 8005.196 	 0.0022018461 	
 7730.1629 	 0.0021431849 	
 7455.134 	 0.0020781087 	
 7180.0848 	 0.001999854 	
 6905.0349 	 0.0019258645 	
 6630.0154 	 0.0018593948 	
 6354.9931 	 0.0017750662 	
 6079.9778 	 0.001706421 	
 5804.9566 	 0.0016072016 	
 5529.9272 	 0.0015490528 	
 5254.9071 	 0.0014943804 	
 4979.4661 	 0.0014111356 	
 4702.1174 	 0.0013353606 	
 4427.0687 	 0.0012392949 	
 4152.0636 	 0.0012054144 	
 3877.0358 	 0.0011136288 	
 3602.0104 	 0.0010502539 	
 3326.9937 	 0.00097339079 	
 3051.9715 	 0.0008991687 	
 2776.9503 	 0.00081427802 	
 2501.9384 	 0.00074210548 	
 2226.9028 	 0.00066040732 	
 1951.9085 	 0.0005771004 	
 1676.8992 	 0.00050761678 	
 1401.8929 	 0.00042093848 	
 1127.1101 	 0.00038034496 	
 975.86332 	 0.00029874563 	
 925.88781 	 0.00029799064 	
 875.88478 	 0.00027137275 	
 825.88996 	 0.00025921382 	
 775.87616 	 0.00024589306 	
 725.8905 	 0.00022009622 	
 675.88753 	 0.00020762788 	
 625.88058 	 0.00018133186 	
 575.88599 	 0.00017817699 	
 525.8839 	 0.00016012843 	
 491.09403 	 0.00015389677 	
 471.11887 	 0.00014566179 	
 451.11733 	 0.0001247385 	
 431.13733 	 0.00012565863 	
 411.13744 	 0.00012011705 	
 391.141 	 0.00010464509 	
 371.13375 	 0.00010057306 	
 351.14684 	 0.00009404244 	
 331.14219 	 0.000095665087 	
 311.15843 	 0.000074917958 	
 291.16573 	 0.000076184855 	
 271.16738 	 0.000068951376 	
 251.17144 	 0.000060413117 	
 231.18714 	 0.000053227129 	
 211.18393 	 0.000033205302 	
 191.18674 	 0.00003812922 	
 171.19333 	 0.000023562064 	
 151.18942 	 0.000007202405 	
 131.20548 	 0.000021476012 	
 111.21046 	 0.00000044751361 	
 96.11645 	 0.0000034414268 	
 86.054691 	-0.0000072015668 	
 76.058992 	-0.000017248465 	
 66.071992 	-0.000015015959 	
 56.066043 	-0.00001328041 	
 46.069147 	-0.000032762525 	
 36.070355 	-0.000030139139 	
 26.071524 	-0.000039272259 	
 16.08218 	-0.000037798369 	
 6.0722526 	-0.000047925586 	
-3.9354071 	-0.000046607041 	
