Start Time:  11/9/2018 10:55:12 PM        Time Completed:  11/10/2018 12:07:24 AM   Elapsed Time:  01:12:12
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #7.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #7.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #7.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.5513229 	-0.000062137839 	
-3.6286379 	-0.000058995268 	
-2.7248715 	-0.000057191631 	
-1.8098978 	-0.000059937748 	
-0.90993557 	-0.000054507441 	
 0.002348805 	-0.000056735638 	
 0.90654482 	-0.000060414689 	
 1.8196864 	-0.000055380446 	
 2.7360233 	-0.000055446002 	
 3.6362806 	-0.000061782524 	
 4.5536482 	-0.000055183832 	
 7.3030714 	-0.00006110971 	
 12.046997 	-0.000052182446 	
 16.809787 	-0.000056585631 	
 21.567215 	-0.000056421737 	
 26.30108 	-0.00004699285 	
 31.056982 	-0.000054472219 	
 35.805636 	-0.000045839038 	
 40.557741 	-0.000045817611 	
 45.320708 	-0.000039780158 	
 50.046249 	-0.000044406296 	
 54.801297 	-0.00003851198 	
 59.55608 	-0.000038855315 	
 64.294077 	-0.000037930083 	
 69.052206 	-0.000035350688 	
 73.809303 	-0.000032396641 	
 78.529845 	-0.000029445689 	
 83.293034 	-0.000029397398 	
 88.047849 	-0.000026485588 	
 92.805139 	-0.000028128602 	
 97.563096 	-0.000026225118 	
 109.17174 	-0.000014603736 	
 129.15905 	-0.0000082171984 	
 149.16088 	-0.0000061805288 	
 169.16058 	 0.000008691721 	
 189.1588 	 0.000011754942 	
 209.16155 	 0.000013761643 	
 229.15967 	 0.000025898055 	
 249.15335 	 0.000039200563 	
 269.16567 	 0.000039389316 	
 289.14601 	 0.000045459794 	
 309.1488 	 0.000054534609 	
 329.15084 	 0.000061277567 	
 349.14539 	 0.000068235927 	
 369.13999 	 0.000085925134 	
 389.14627 	 0.000085599604 	
 409.12572 	 0.000094852748 	
 429.12016 	 0.000098140988 	
 449.12223 	 0.00010462871 	
 469.1126 	 0.00011396318 	
 489.11012 	 0.00012036777 	
 511.15862 	 0.00012136191 	
 536.14993 	 0.00012791489 	
 561.15601 	 0.00014298002 	
 586.15217 	 0.00015734557 	
 611.15239 	 0.00016154459 	
 636.15066 	 0.00016803041 	
 661.15613 	 0.00017395611 	
 686.14308 	 0.00018506797 	
 711.16418 	 0.00019434718 	
 736.23516 	 0.00020082526 	
 761.41347 	 0.00020587982 	
 786.41037 	 0.00021367031 	
 811.41137 	 0.00022510204 	
 836.41475 	 0.00022825871 	
 861.40105 	 0.00023502575 	
 886.4137 	 0.00024525777 	
 911.40659 	 0.00025819556 	
 936.42148 	 0.0002613214 	
 961.4083 	 0.00027050391 	
 986.41306 	 0.00027657735 	
 1120.5291 	 0.00031228405 	
 1395.0766 	 0.00040323175 	
 1670.1069 	 0.00047109521 	
 1945.1117 	 0.00055649522 	
 2220.1329 	 0.00062331041 	
 2495.11 	 0.00070028226 	
 2770.1102 	 0.00077912196 	
 3045.0868 	 0.00084508586 	
 3320.041 	 0.00093248288 	
 3595.0462 	 0.001003102 	
 3870.0069 	 0.001082322 	
 4144.9732 	 0.0011433321 	
 4419.9412 	 0.0012129481 	
 4694.9327 	 0.0012914288 	
 4969.9066 	 0.0013659074 	
 5244.8749 	 0.0014396284 	
 5519.8344 	 0.0015166839 	
 5794.825 	 0.0015950574 	
 6069.7706 	 0.0016796387 	
 6344.7728 	 0.0017507465 	
 6619.7281 	 0.0018094889 	
 6894.7117 	 0.0018700338 	
 7169.6685 	 0.0019640263 	
 7444.6349 	 0.0020285374 	
 7719.6086 	 0.0021030512 	
 7994.5437 	 0.0021591215 	
 8269.5105 	 0.0022460606 	
 8544.4507 	 0.0023073662 	
 8819.3735 	 0.0023970562 	
 9094.2832 	 0.0024740976 	
 9369.1849 	 0.0025309075 	
 9645.9248 	 0.0026040843 	
 9921.6736 	 0.0026843025 	
 10196.515 	 0.0027577283 	
 10471.351 	 0.0028402747 	
 10746.175 	 0.0028944524 	
 11020.992 	 0.0029628925 	
 11295.801 	 0.0030269396 	
 11570.572 	 0.003110933 	
 11845.334 	 0.0031911461 	
 11866.681 	 0.0032049673 	
 11591.598 	 0.0031271686 	
 11316.075 	 0.0030671212 	
 11040.684 	 0.0029805849 	
 10765.367 	 0.002907962 	
 10488.929 	 0.0028441062 	
 10212.04 	 0.0027613719 	
 9936.8536 	 0.0026820763 	
 9661.6482 	 0.0026359112 	
 9386.4808 	 0.0025460506 	
 9111.381 	 0.0024729208 	
 8836.2839 	 0.0023905516 	
 8561.1901 	 0.0023404158 	
 8286.1315 	 0.0022802113 	
 8011.0673 	 0.002198928 	
 7736.0524 	 0.0021295625 	
 7461.0013 	 0.0020610769 	
 7185.9578 	 0.0019732045 	
 6910.9396 	 0.0019082954 	
