Start Time:  11/10/2018 1:19:38 AM        Time Completed:  11/10/2018 2:31:50 AM    Elapsed Time:  01:12:12
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #9.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #9.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #9.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.6447841 	-0.000058370661 	
-3.7275485 	-0.000057913905 	
-2.8120607 	-0.000064124074 	
-1.9038731 	-0.000067848016 	
-0.98817973 	-0.000064500733 	
-0.090700492 	-0.00006004314 	
 0.8211987 	-0.0000618432 	
 1.728465 	-0.000059923329 	
 2.6425343 	-0.000065409532 	
 3.5483577 	-0.000066520527 	
 4.4522224 	-0.000060745366 	
 7.1434082 	-0.000063313185 	
 11.897023 	-0.000061409435 	
 16.645279 	-0.000060907262 	
 21.405902 	-0.000061009694 	
 26.15273 	-0.000061073199 	
 30.897956 	-0.000055220823 	
 35.648979 	-0.000053250342 	
 40.393515 	-0.000046503305 	
 45.148503 	-0.0000503553 	
 49.873426 	-0.000049626538 	
 54.645823 	-0.000040501288 	
 59.39556 	-0.000042450715 	
 64.1315 	-0.00004060719 	
 68.893385 	-0.000039448604 	
 73.623866 	-0.000038408663 	
 78.384823 	-0.00003374372 	
 83.134062 	-0.000036090691 	
 87.917348 	-0.000033790959 	
 92.661046 	-0.000031261031 	
 97.391152 	-0.000021875555 	
 109.0277 	-0.000022047006 	
 128.99936 	-0.000025629053 	
 148.99985 	-0.000010258641 	
 169.00006 	-0.0000019997704 	
 189.00018 	 0.0000084190279 	
 209.00308 	 0.0000092308161 	
 229.00332 	 0.000019450209 	
 248.9883 	 0.000029571783 	
 268.99892 	 0.000033354334 	
 288.99186 	 0.000036916334 	
 308.99285 	 0.00004123403 	
 328.98701 	 0.00005423252 	
 348.96561 	 0.000062012262 	
 368.97314 	 0.000068770303 	
 388.96419 	 0.000072339921 	
 408.96453 	 0.000082831587 	
 428.96155 	 0.000092200714 	
 448.94505 	 0.000095173169 	
 469.07591 	 0.00010235213 	
 489.15227 	 0.00010400556 	
 510.9517 	 0.00011844154 	
 535.91137 	 0.00012102893 	
 561.14263 	 0.00013681013 	
 586.41013 	 0.00013951241 	
 611.42028 	 0.00015074664 	
 636.41689 	 0.00015420364 	
 661.41177 	 0.00016774021 	
 686.41487 	 0.00016971073 	
 711.41967 	 0.00018242115 	
 736.41063 	 0.00018866242 	
 761.41527 	 0.0001954622 	
 786.41417 	 0.00020155301 	
 811.41065 	 0.00021228 	
 836.41975 	 0.00021884643 	
 861.42081 	 0.00022683704 	
 886.42384 	 0.00023292534 	
 911.41924 	 0.00023598419 	
 936.42689 	 0.0002496492 	
 961.41668 	 0.0002555861 	
 986.42766 	 0.00026423713 	
 1128.664 	 0.0003111878 	
 1403.5898 	 0.00038630927 	
 1678.621 	 0.00045531418 	
 1953.6084 	 0.00053283978 	
 2228.6358 	 0.0006056318 	
 2503.6014 	 0.00067714627 	
 2778.6082 	 0.00077272914 	
 3053.5828 	 0.00084155684 	
 3328.5724 	 0.00090501791 	
 3603.5504 	 0.00096857083 	
 3878.5176 	 0.0010571581 	
 4153.4771 	 0.0011336984 	
 4428.4459 	 0.0011940835 	
 4703.4432 	 0.0012662543 	
 4978.4186 	 0.0013486348 	
 5253.3786 	 0.0014203781 	
 5528.351 	 0.0015074667 	
 5803.3329 	 0.0015936861 	
 6078.3102 	 0.0016486779 	
 6353.2714 	 0.0017274981 	
 6628.2469 	 0.0018070292 	
 6903.2246 	 0.0018761485 	
 7178.1944 	 0.0019358924 	
 7453.1569 	 0.0020153326 	
 7728.1239 	 0.0020855068 	
 8003.0634 	 0.0021731898 	
 8278.0278 	 0.0022319931 	
 8555.6606 	 0.0023135052 	
 8830.6292 	 0.0023846998 	
 9105.5692 	 0.0024650613 	
 9383.1964 	 0.0025340446 	
 9658.0647 	 0.0025860595 	
 9932.9475 	 0.0026785987 	
 10207.779 	 0.0027453684 	
 10482.628 	 0.0028204949 	
 10757.423 	 0.0028765342 	
 11032.254 	 0.0029399319 	
 11307.065 	 0.0030268748 	
 11581.827 	 0.0030989661 	
 11856.524 	 0.0031674872 	
 11859.459 	 0.0031755131 	
 11583.952 	 0.0031032458 	
 11308.446 	 0.0030397209 	
 11033.061 	 0.0029626946 	
 10757.72 	 0.002902151 	
 10482.441 	 0.0028321921 	
 10207.174 	 0.0027472473 	
 9931.9847 	 0.0026869255 	
 9656.7869 	 0.0025960974 	
 9381.6264 	 0.0025184388 	
 9106.5032 	 0.0024546629 	
 8831.4152 	 0.0023872813 	
 8556.3248 	 0.0023271164 	
 8281.2704 	 0.0022597046 	
 8006.2086 	 0.0021737607 	
 7731.1795 	 0.002107018 	
 7456.1423 	 0.0020443548 	
 7181.1103 	 0.0019706942 	
 6906.0741 	 0.001884523 	
 6631.0621 	 0.0018225709 	
 6356.0341 	 0.0017387722 	
 6080.9921 	 0.0016762548 	
 5805.9764 	 0.0015945545 	
 5530.9518 	 0.0015163046 	
 5254.4917 	 0.0014501205 	
 4978.1498 	 0.0013938906 	
 4703.1231 	 0.0013144569 	
 4428.1036 	 0.0012490564 	
 4153.0929 	 0.001159538 	
 3878.0322 	 0.00109145 	
 3603.0294 	 0.0010072848 	
 3328.0116 	 0.00092166817 	
 3050.9692 	 0.0008349196 	
 2775.2162 	 0.00079039886 	
 2500.2141 	 0.00070498946 	
 2225.1941 	 0.00062367941 	
