Start Time:  11/9/2018 7:18:34 PM         Time Completed:  11/9/2018 8:30:48 PM     Elapsed Time:  01:12:14
Sample ID:     BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 

Experiment:    C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.exp
Data File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #4.txt
Plot File:     C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #4.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\HysCoFe2O4_Completa\HysCoFe2O4_Completa.stp
VSM Data File: C:\IDEASVSM\Default UserID\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15  (ProfileData)\BFO630_AfterEstaSi_Recal600C_300K_91118_SETd15 #4.dat

***DATA***

Field(Oe)	 Moment(emu)	
-4.6334741 	 0.00012718148 	
-3.7248752 	 0.00012978852 	
-2.8180241 	 0.00011809679 	
-1.9025365 	 0.00011953526 	
-0.99661078 	 0.00012239283 	
-0.083195837 	 0.00012279424 	
 0.821611 	 0.00011759263 	
 1.7289804 	 0.00012156481 	
 2.6430497 	 0.0001186018 	
 3.5467084 	 0.00011898276 	
 4.4582008 	 0.00011967154 	
 7.0441469 	 0.00011940776 	
 11.78261 	 0.00012681228 	
 16.537463 	 0.0001249427 	
 21.303806 	 0.00012661721 	
 26.040418 	 0.00012875721 	
 30.789845 	 0.00013549648 	
 35.540404 	 0.00012892514 	
 40.301055 	 0.00013563427 	
 45.083277 	 0.00013452883 	
 49.833991 	 0.00013632696 	
 54.589039 	 0.00014175879 	
 59.296561 	 0.00014109446 	
 64.083005 	 0.00013987917 	
 68.823164 	 0.00014254021 	
 73.580211 	 0.00014188611 	
 78.332983 	 0.00014744232 	
 83.075994 	 0.00015075546 	
 87.830914 	 0.00015553681 	
 92.573941 	 0.00015412526 	
 97.298436 	 0.00015555954 	
 109.00088 	 0.00015891518 	
 128.97527 	 0.00016721969 	
 148.99058 	 0.00017486459 	
 168.9788 	 0.0001842043 	
 188.98694 	 0.00019139101 	
 208.98305 	 0.00019599076 	
 228.98159 	 0.00020662684 	
 248.99134 	 0.00021232229 	
 269.01493 	 0.00022045922 	
 289.17042 	 0.00022847492 	
 309.1695 	 0.00023750624 	
 329.17813 	 0.00024330993 	
 349.16887 	 0.0002480103 	
 369.16836 	 0.00025461198 	
 389.1525 	 0.00026212555 	
 409.1442 	 0.0002686266 	
 429.15201 	 0.00027967588 	
 449.14359 	 0.00027875842 	
 469.13658 	 0.00029390443 	
 489.1356 	 0.0003007938 	
 511.0329 	 0.00030285943 	
