Start Time:  10/1/2018 12:29:40 PM        Time Completed:  10/1/2018 1:38:12 PM     Elapsed Time:  01:08:31
Sample ID:     BFO_425_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.dat

***DATA***

Field(Oe)	 Moment(emu)	 Temperature(K)	
-9.1138529 	-0.000039716434 	 299.974 	
-7.2975804 	-0.000034485954 	 299.976 	
-5.4786346 	-0.000026790931 	 299.978 	
-3.6610255 	-0.000020398669 	 299.979 	
-1.8448558 	-0.000015133166 	 299.983 	
-0.030719521 	-0.0000067636385 	 299.987 	
 1.7833009 	 0.0000012761817 	 299.988 	
 3.6219531 	 0.0000071182568 	 299.991 	
 5.4267968 	 0.000011679503 	 299.994 	
 7.2382372 	 0.000020005433 	 299.997 	
 9.0637988 	 0.000028230353 	 300 	
 54.180155 	 0.00018492592 	 300.002 	
 153.16559 	 0.00047938054 	 300.004 	
 252.19596 	 0.00071108096 	 300.005 	
 351.2232 	 0.00089777472 	 300.007 	
 450.22529 	 0.0010542374 	 300.008 	
 549.23566 	 0.0011927042 	 300.008 	
 648.2612 	 0.0013153365 	 300.01 	
 747.26132 	 0.0014199624 	 300.011 	
 846.27139 	 0.0015228829 	 300.01 	
 945.28915 	 0.0016219172 	 300.012 	
 1140.9571 	 0.0017907825 	 300.011 	
 1455.0296 	 0.0020375491 	 300.011 	
 1769.3163 	 0.0022508096 	 300.009 	
 2083.633 	 0.0024442431 	 300.011 	
 2397.8897 	 0.0026282354 	 300.01 	
 2712.1237 	 0.0028097836 	 300.01 	
 3026.3758 	 0.0029775291 	 300.01 	
 3340.5858 	 0.0031366398 	 300.01 	
 3654.81 	 0.0032814304 	 300.009 	
 3969.0636 	 0.0034306929 	 300.007 	
 4283.2581 	 0.0035719085 	 300.008 	
 4597.5006 	 0.0037101477 	 300.006 	
 4911.7071 	 0.0038441425 	 300.007 	
 5225.9336 	 0.0039758544 	 300.003 	
 5540.175 	 0.0041140229 	 300.005 	
 5854.3114 	 0.0042566085 	 300.002 	
 6168.6097 	 0.0044004278 	 300.001 	
 6482.8368 	 0.004529624 	 300.003 	
 6797.0547 	 0.0046575799 	 300.001 	
 7111.2938 	 0.004786245 	 299.999 	
 7425.5058 	 0.0049088276 	 299.997 	
 7739.7138 	 0.0050264701 	 299.996 	
 8053.9445 	 0.0051623984 	 299.995 	
 8368.1312 	 0.0052787481 	 299.995 	
 8682.3235 	 0.0053960456 	 299.996 	
 8996.492 	 0.0055284203 	 299.997 	
 9310.647 	 0.0056613138 	 299.995 	
 9624.781 	 0.0057869196 	 299.996 	
 9938.8863 	 0.0059068843 	 299.996 	
 10252.947 	 0.0060238703 	 299.996 	
 10567.039 	 0.0061292612 	 299.996 	
 10881.092 	 0.0062396644 	 299.997 	
 11195.119 	 0.0063686542 	 299.999 	
 11509.139 	 0.0064765537 	 299.998 	
 11823.121 	 0.0065747769 	 300 	
 11858.379 	 0.0066105199 	 300.001 	
 11544.526 	 0.0065111341 	 300 	
 11229.856 	 0.006400085 	 300.001 	
 10915.339 	 0.0062913336 	 300.002 	
 10600.911 	 0.0061776138 	 300.003 	
 10286.531 	 0.0060763418 	 300.003 	
 9972.2012 	 0.0059514146 	 300.003 	
 9657.9516 	 0.0058484867 	 300.003 	
 9343.7181 	 0.0057387755 	 300.003 	
 9029.5446 	 0.0056198019 	 300.005 	
 8715.3696 	 0.0055140358 	 300.005 	
 8401.2362 	 0.0053906389 	 300.005 	
 8087.0529 	 0.0052734437 	 300.006 	
 7772.7478 	 0.0051562111 	 300.006 	
 7458.4609 	 0.0050320316 	 300.004 	
 7144.1318 	 0.004942322 	 300.005 	
 6829.8747 	 0.0048091858 	 300.006 	
 6515.5781 	 0.0046781274 	 300.005 	
 6201.2687 	 0.0045349193 	 300.006 	
 5886.9997 	 0.0044151092 	 300.005 	
 5572.6941 	 0.0042842878 	 300.006 	
 5258.4164 	 0.0041534316 	 300.005 	
 4944.1469 	 0.0040202855 	 300.005 	
 4629.8345 	 0.0038886256 	 300.004 	
 4315.5873 	 0.0037316987 	 300.004 	
 4001.3024 	 0.0035903322 	 300.004 	
 3686.9974 	 0.0034352851 	 300.003 	
 3372.6862 	 0.0032891217 	 300.003 	
 3058.4113 	 0.0031248741 	 300.003 	
 2744.144 	 0.0029539877 	 300.002 	
 2429.8523 	 0.0027799898 	 300.002 	
 2115.5646 	 0.0025947361 	 300.001 	
 1801.3193 	 0.0023842972 	 300.001 	
 1487.0391 	 0.0021674419 	 300.002 	
 1172.7818 	 0.0019169057 	 300.001 	
 993.4743 	 0.0017653582 	 300.001 	
 973.31134 	 0.0017364479 	 300.001 	
 953.31731 	 0.0017234684 	 300.002 	
 933.31622 	 0.0016996205 	 300.001 	
 913.3153 	 0.0016771176 	 300.003 	
 893.32867 	 0.0016591488 	 300.003 	
 873.33407 	 0.0016390516 	 300.004 	
 853.3342 	 0.0016176339 	 300.004 	
 833.33325 	 0.001597608 	 300.004 	
