Start Time:  10/1/2018 3:29:18 PM         Time Completed:  10/1/2018 4:37:33 PM     Elapsed Time:  01:08:14
Sample ID:     BFO_630_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_630_SV_300K_MvsH_011018#1.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_630_SV_300K_MvsH_011018#1.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_630_SV_300K_MvsH_011018#1.dat

***DATA***

Field(Oe)	 Moment(emu)	
-9.1472685 	-0.0000074007961 	
-7.3336693 	-0.0000065881959 	
-5.5013574 	-0.0000046906336 	
-3.6973201 	-0.000005214834 	
-1.8686067 	-0.0000040884993 	
-0.055634586 	-0.0000054431057 	
 1.7729934 	-0.0000032178326 	
 3.6014412 	-0.0000025471575 	
 5.4116448 	-0.0000033585141 	
 7.2411233 	-0.0000014828821 	
 9.0567898 	-0.0000020143489 	
 53.784458 	 0.0000080453532 	
 152.69041 	 0.000032003744 	
 251.72941 	 0.000058939811 	
 350.73362 	 0.00008326774 	
 449.75394 	 0.00010814786 	
 548.7626 	 0.00012284117 	
 647.79194 	 0.00013840496 	
 746.80595 	 0.00015709084 	
 845.79965 	 0.00017974584 	
 944.8081 	 0.00020197527 	
 1139.3488 	 0.00025244958 	
 1453.34 	 0.0003395618 	
 1767.6451 	 0.00040566805 	
 2081.9588 	 0.00046726897 	
 2396.2466 	 0.00054221767 	
 2710.4526 	 0.00061212893 	
 3024.6845 	 0.00068306265 	
 3338.911 	 0.0007560377 	
 3653.14 	 0.00081217524 	
 3967.3816 	 0.00088604342 	
 4281.5955 	 0.00095362542 	
 4595.828 	 0.0010239194 	
 4910.0481 	 0.0010970383 	
 5224.2738 	 0.0011684148 	
 5538.4616 	 0.0012280895 	
 5852.6848 	 0.0012982923 	
 6166.9438 	 0.0013623455 	
 6481.1895 	 0.0014267642 	
 6795.4181 	 0.0015073984 	
 7109.6177 	 0.0015698023 	
 7423.8449 	 0.0016431182 	
 7738.0668 	 0.0017118352 	
 8052.2749 	 0.0017785698 	
 8366.4566 	 0.0018450174 	
 8680.6542 	 0.0019094968 	
 8994.8183 	 0.0019776343 	
 9308.9769 	 0.0020492071 	
 9623.0988 	 0.0021186236 	
 9937.2315 	 0.0021794371 	
 10251.315 	 0.0022534749 	
 10565.394 	 0.0023152801 	
 10879.421 	 0.0023885859 	
 11193.471 	 0.0024590338 	
 11509.094 	 0.0025420315 	
 11824.605 	 0.0026070843 	
 11843.043 	 0.0026325608 	
 11528.379 	 0.0025661137 	
 11213.728 	 0.0024957777 	
 10899.23 	 0.0024255052 	
 10584.782 	 0.0023610704 	
 10270.423 	 0.0022909621 	
 9956.0985 	 0.0022294275 	
 9641.8268 	 0.0021653903 	
 9327.623 	 0.0020918107 	
 9013.4297 	 0.0020319799 	
 8699.2946 	 0.0019612852 	
 8385.1392 	 0.001893221 	
 8070.9418 	 0.0018372094 	
 7756.6341 	 0.0017679089 	
 7442.3427 	 0.0016996045 	
 7128.0366 	 0.0016323525 	
 6813.7546 	 0.0015599821 	
 6499.4587 	 0.0014958491 	
 6185.1703 	 0.0014237844 	
 5870.8934 	 0.0013605185 	
 5556.5893 	 0.0012883833 	
 5242.3239 	 0.0012215299 	
 4928.0344 	 0.0011525773 	
 4613.7391 	 0.0010828275 	
 4299.4613 	 0.0010170465 	
 3985.2025 	 0.00094022996 	
 3670.88 	 0.00086594413 	
 3356.5944 	 0.00080524375 	
 3042.316 	 0.00073477747 	
 2728.0364 	 0.00066093426 	
 2411.4884 	 0.00058206721 	
